;d;d;d;d;d;;;renewable;renewable;renewable;renewable;renewable;;;
h174;38030;47821;54080;50888;50307;;h174;0,229956031;0,055061676;0,17581786;0,226011964;0,303710084;;;
h175;36841;55276;62580;58294;57202;;h175;0,234467597;0,060164795;0,181447097;0,236165133;0,318464284;;;
h176;38583;62291;70022;65504;63429;;h176;0,236092525;0,062098779;0,190436192;0,243421229;0,32083923;;;
h177;41271;63983;72222;68496;65999;;h177;0,231810361;0,064276544;0,218022399;0,243193219;0,329133083;;;
h178;44874;63763;71508;68716;66407;;h178;0,225023896;0,074694057;0,255526083;0,250033531;0,355442072;;;
h179;47724;64837;72068;69317;66226;;h179;0,222557828;0,087143066;0,307043914;0,258080957;0,39078324;;;
h180;50686;66640;73129;70214;67047;;h180;0,223532785;0,094879004;0,36170056;0,264331125;0,416427736;;;
h181;50826;66277;72320;69133;66625;;h181;0,226438539;0,103183761;0,375257884;0,259878216;0,403457823;;;
h182;49281;65924;71738;67936;64851;;h182;0,219422673;0,092993775;0,352726201;0,247163282;0,352980988;;;
h183;48070;65037;70481;66639;63200;;h183;0,190135729;0,080756042;0,290362511;0,237197886;0,284685904;;;
h184;47773;64629;69646;66640;62226;;h184;0,167616135;0,068469552;0,215001474;0,220579951;0,220254722;;;
h185;49266;64806;70736;66966;63517;;h185;0,145287708;0,057499472;0,15928382;0,226092438;0,191103181;;;
h186;53775;67129;74560;69119;67195;;h186;0,130108966;0,049373487;0,145004421;0,229190697;0,18127115;;;
h187;54974;66857;74363;68204;66203;;h187;0,123418084;0,044627911;0,142410846;0,246707261;0,167070695;;;
h188;53957;64904;72237;66654;64105;;h188;0,119155037;0,04098747;0,133171235;0,268435312;0,157201747;;;
h189;51413;61160;67798;62678;59966;;h189;0,10837316;0,037834587;0,134851164;0,288124681;0,146286839;;;
h190;50110;57974;64419;59300;56595;;h190;0,098126553;0,035169264;0,130002947;0,304152472;0,138189873;;;
h191;50593;55561;61166;57798;54452;;h191;0,090632766;0,032130146;0,115001474;0,305788782;0,126881191;;;
h192;47343;50344;56180;53177;51051;;h192;0,08044351;0,029789862;0,105540819;0,307411679;0,120371624;;;
h193;44352;46594;52192;48681;47980;;h193;0,071809476;0,029285099;0,103857829;0,301679049;0,108472282;;;
h194;42278;44815;49962;46477;45924;;h194;0,069477628;0,029691385;0,098317173;0,298983451;0,09993232;;;
h195;41509;43980;49093;45143;44459;;h195;0,067489822;0,030682723;0,09825823;0,304012553;0,094394881;;;
h196;42012;44424;49642;45578;44223;;h196;0,064087616;0,033526725;0,103946244;0,319931336;0,088574417;;;
h197;43725;46094;51294;46997;44449;;h197;0,058372675;0,037475826;0,121702868;0,337660596;0,090506368;;;
h198;47594;49027;54892;50850;43964;;h198;0,053269367;0,040059805;0,140196281;0,35587265;0,087294653;;;
h199;56562;56616;63338;58594;43909;;h199;0,043922858;0,043927649;0,17237924;0,369203122;0,091847659;;;
h200;64443;63609;70670;66132;46368;;h200;0,042470231;0,047584223;0,197002741;0,378966285;0,092733649;;;
h201;67717;66138;73079;69857;49764;;h201;0,046579636;0,054946126;0,222952462;0,390151007;0,098480281;;;
h202;67907;65665;72215;70365;52495;;h202;0,055811464;0,070677523;0,261972827;0,405157847;0,117455239;;;
h203;69142;66584;73157;71224;54265;;h203;0,071255185;0,089512944;0,318130913;0,413606738;0,137488464;;;
h204;70144;67969;74156;71492;55825;;h204;0,08335404;0,108673395;0,366537974;0,410119894;0,141093952;;;
h205;69912;67192;73370;70469;54920;;h205;0,099638755;0,119366844;0,384117768;0,414961242;0,133033901;;;
h206;69422;66975;72936;69271;53376;;h206;0,108794128;0,121999577;0,387742772;0,41549768;0,119928629;;;
h207;68810;66006;72074;67918;52396;;h207;0,116802691;0,116604099;0,370914503;0,414652791;0,09934166;;;
h208;68413;65363;71577;67570;52042;;h208;0,123454194;0,101896543;0,356488167;0,410026017;0,088623639;;;
h209;68281;65561;72686;68830;53430;;h209;0,139318412;0,105325598;0,341531343;0,406807392;0,099304744;;;
h210;70279;67259;75718;71338;57320;;h210;0,156692597;0,108559635;0,362397218;0,402596358;0,118722697;;;
h211;69742;66470;75158;70458;57644;;h211;0,175786999;0,113565079;0,365506469;0,388300298;0,131889497;;;
h212;67914;64161;72842;67255;56131;;h212;0,194957855;0,118798043;0,359803719;0,371697557;0,140897065;;;
h213;63704;59944;68389;62953;52487;;h213;0,211357251;0,124989843;0,344861631;0,351312931;0,143099735;;;
h214;59644;56426;65092;59499;50445;;h214;0,229362182;0,125704906;0,345097404;0,322197785;0,143555036;;;
h215;56376;53971;61741;55726;47327;;h215;0,252107265;0,12664749;0,336535911;0,294531019;0,150039993;;;
h216;51117;48839;56480;51943;43690;;h216;0,266939353;0,128938943;0,323273703;0,282729394;0,15507291;;;
h217;46724;45347;52633;47752;40280;;h217;0,271434578;0,127181437;0,315336555;0,268916128;0,161028733;;;
h218;44153;43580;50602;46171;38763;;h218;0,276709606;0,123167918;0,304049275;0,27123622;0,167230665;;;
h219;43108;42649;49787;44622;38086;;h219;0,267038722;0,125426538;0,297801485;0,275943459;0,176915031;;;
h220;43419;43015;50301;44255;38198;;h220;0,250774053;0,139221995;0,288842391;0,294517609;0,186070264;;;
h221;45114;43807;52166;44399;37868;;h221;0,231833646;0,148402717;0,284333373;0,312206636;0,186894727;;;
h222;48441;46405;55506;44393;36455;;h222;0,212759451;0,146534074;0,278557114;0,326717271;0,193798068;;;
h223;56174;53912;63242;45501;34921;;h223;0,183116089;0,149085178;0,281032654;0,351742081;0,20483603;;;
h224;63247;61361;70746;49037;36283;;h224;0,168647987;0,141903091;0,27422492;0,367620631;0,212071618;;;
h225;65524;63706;72931;53447;39157;;h225;0,158671305;0,149020181;0,280104326;0,380951104;0,213523657;;;
h226;65919;63757;71930;56848;45234;;h226;0,158231719;0,157274707;0,308175174;0,391720087;0,221915954;;;
h227;67141;64452;72319;58286;50784;;h227;0,163755208;0,17251633;0,338633149;0,416677842;0,232793946;;;
h228;67480;65333;73152;59968;53345;;h228;0,16637361;0,180120893;0,370667806;0,453276292;0,238848213;;;
h229;67128;64925;72808;60355;52999;;h229;0,168992011;0,177196061;0,371890841;0,466271491;0,235058143;;;
h230;66370;64633;71374;58690;51005;;h230;0,159703375;0,169412759;0,349080514;0,45110372;0,225041531;;;
h231;65000;64226;69765;57123;50360;;h231;0,128951493;0,152984953;0,308970883;0,425019446;0,202264197;;;
h232;66114;64126;68855;55596;49898;;h232;0,093058369;0,115238374;0,247229754;0,395823834;0,169494862;;;
h233;66830;64562;69803;56866;51051;;h233;0,076793701;0,096438205;0,197041141;0,384652523;0,159379807;;;
h234;69980;67022;73559;60660;54816;;h234;0,082030503;0,085063859;0,176190617;0,381219322;0,165360241;;;
h235;70128;66733;73052;60838;55658;;h235;0,092332097;0,076240616;0,163356124;0,375881769;0,169408725;;;
h236;68283;65177;70842;58432;54632;;h236;0,100282864;0,065012512;0,165094896;0,370758791;0,176275149;;;
h237;64347;61505;66392;54422;52346;;h237;0,108596766;0,060966494;0,15566427;0,363503473;0,168916508;;;
h238;60812;58242;63011;52178;50784;;h238;0,107067773;0,057846674;0,147073559;0,354719309;0,152230357;;;
h239;57948;56048;60856;51568;50644;;h239;0,110622683;0,058756621;0,144288577;0,340476893;0,142435243;;;
h240;52963;51259;56475;48369;46958;;h240;0,115094989;0,054791849;0,139440646;0,332872891;0,138719006;;;
h241;49008;48012;52939;44559;44572;;h241;0,12293876;0,055499594;0,137908169;0,324410589;0,13200443;;;
h242;46956;45921;50609;42037;42651;;h242;0,13245438;0,056100731;0,127814452;0,321728402;0,123206595;;;
h243;46162;44720;49342;40722;42302;;h243;0,138683481;0,057969131;0,123305434;0,312890594;0,115503876;;;
h244;46227;44721;49360;40223;43220;;h244;0,147702302;0,062193339;0,123688554;0,310919186;0,098794143;;;
h245;47138;45443;49297;40556;44847;;h245;0,156319862;0,064240455;0,116615584;0,31441944;0,090020918;;;
h246;49892;47820;48927;40160;48384;;h246;0,162185918;0,063005686;0,114036897;0,317490545;0,079660391;;;
h247;57472;54898;49398;39316;56946;;h247;0,167593389;0,062778229;0,121065661;0,331518386;0,076141258;;;
h248;65138;62144;53005;41116;64093;;h248;0,171395815;0,0581316;0,129302723;0,340074565;0,078528362;;;
h249;67361;64833;56583;44546;67118;;h249;0,178809592;0,04965069;0,146233644;0,355953115;0,084988311;;;
