;d;renewable
h656;73506;0.088193331
h657;75066;0.093635548
h658;74716;0.115933929
h659;75113;0.147763543
h660;75598;0.177386853
h661;74902;0.1877859
h662;74256;0.184829453
h663;73287;0.165222763
h664;72551;0.140512157
h665;72222;0.119199259
h666;76047;0.122317502
h667;77581;0.12820098
h668;75812;0.126936032
h669;71512;0.127980349
h670;68250;0.121567358
h671;65246;0.116860576
h672;61050;0.116434024
h673;57631;0.114200435
h674;55296;0.118082103
h675;54186;0.115861907
h676;54261;0.117449862
h677;55355;0.12218432
h678;58480;0.134314533
h679;66675;0.139725343
h680;73918;0.145062636
h681;75986;0.141974946
h682;75980;0.149047227
h683;76726;0.175954243
h684;77434;0.195671352
h685;76833;0.205302006
h686;76342;0.205316709
h687;75298;0.189701817
h688;74563;0.169734753
h689;73979;0.148620832
h690;77153;0.138725519
h691;78269;0.145033229
h692;76352;0.143518791
h693;71980;0.131182732
h694;68612;0.121390343
h695;66118;0.11372993
h696;61943;0.112009645
h697;58221;0.114162699
h698;56245;0.113883501
h699;54963;0.113765944
h700;54880;0.110577206
h701;55862;0.105331217
h702;58957;0.104846294
h703;66759;0.102980074
h704;73756;0.100599542
h705;75485;0.104699348
h706;75499;0.126388644
h707;76226;0.158011521
h708;76728;0.182816082
h709;75968;0.193337448
h710;75250;0.187635925
h711;73940;0.168488803
h712;73247;0.135881385
h713;72706;0.110224534
h714;76180;0.111502968
h715;77775;0.125360019
h716;76057;0.128916123
h717;71821;0.125022042
h718;68372;0.108578734
h719;65575;0.103244578
h720;61408;0.098410039
h721;57870;0.093350553
h722;55656;0.087773881
h723;54374;0.080700313
h724;54411;0.074668702
h725;55408;0.06973775
h726;58479;0.06763916
h727;65922;0.061930409
h728;72699;0.060448188
h729;74658;0.05937688
h730;74374;0.077163529
h731;74755;0.109141339
h732;74868;0.134074933
h733;73816;0.148926491
h734;72146;0.150628843
h735;70399;0.132240501
h736;69565;0.091134559
h737;69337;0.048957309
h738;73267;0.048927958
h739;74973;0.077574441
h740;72990;0.099939831
h741;68665;0.110652911
h742;65375;0.125343039
h743;63472;0.125974083
h744;59526;0.129290735
h745;56130;0.147970415
h746;53916;0.167268351
h747;52331;0.171406768
h748;51818;0.182207743
h749;51390;0.194931173
h750;51182;0.206744739
h751;51657;0.227730328
h752;55237;0.235772358
h753;58712;0.251841742
h754;61864;0.281412345
h755;63925;0.318511344
h756;64936;0.333524111
h757;64051;0.334566053
h758;62403;0.314622406
h759;60621;0.255994834
h760;59963;0.19595844
h761;60282;0.158125679
h762;63988;0.140676822
h763;65661;0.128907282
h764;63263;0.119896686
h765;59134;0.11520061
h766;56708;0.108538053
h767;55961;0.106292742
h768;52874;0.103034839
h769;49553;0.093246456
h770;46878;0.093598662
h771;45486;0.090105955
h772;45154;0.083076517
h773;45313;0.078160312
h774;44808;0.076003052
h775;44098;0.074109947
h776;46145;0.077323824
h777;49560;0.088917261
h778;53109;0.105573655
h779;55761;0.129450266
h780;58113;0.145284846
h781;57382;0.148395997
h782;55086;0.140574095
h783;53614;0.120630448
h784;52870;0.092175164
h785;53328;0.064130786
h786;57995;0.057116022
h787;61961;0.067696868
h788;60990;0.070808019
h789;58361;0.069091016
h790;57062;0.064233512
h791;57257;0.053975522
h792;53943;0.046593877
h793;51142;0.040147913
h794;49756;0.031798439
h795;49172;0.026912015
h796;49590;0.022553853
h797;51093;0.022568527
h798;54902;0.024872337
h799;63473;0.031490286
h800;70978;0.034733228
h801;73490;0.044946293
h802;73848;0.067705582
h803;74675;0.101294242
h804;75493;0.133914422
h805;74997;0.141486177
h806;74504;0.143980748
h807;73500;0.13379703
h808;72997;0.117626343
h809;72294;0.114001878
h810;75229;0.120722545
h811;76688;0.127736691
h812;74824;0.130539414
h813;70416;0.127633973
h814;66743;0.112417092
h815;64008;0.101602395
h816;59671;0.099430651
h817;56210;0.099806315
h818;54132;0.093878389
h819;53235;0.086556521
h820;53454;0.089065618
