left,top,right,bottom,id,X,Y,CTR_N,CTR,CST_N,GRED_CST
12.0948387390,50.7847458940,12.5948387390,51.2847458940,231,12.0948387390,50.7847458940,Germany,276.00,Thüringen,27600916.00
12.0948387390,50.2847458940,12.5948387390,50.7847458940,232,12.0948387390,50.2847458940,Germany,276.00,Bayern,27600902.00
12.0948387390,49.7847458940,12.5948387390,50.2847458940,233,12.0948387390,49.7847458940,Germany,276.00,Bayern,27600902.00
12.0948387390,49.2847458940,12.5948387390,49.7847458940,234,12.0948387390,49.2847458940,Germany,276.00,Bayern,27600902.00
12.0948387390,48.7847458940,12.5948387390,49.2847458940,235,12.0948387390,48.7847458940,Germany,276.00,Bayern,27600902.00
12.0948387390,48.2847458940,12.5948387390,48.7847458940,236,12.0948387390,48.2847458940,Germany,276.00,Bayern,27600902.00
12.0948387390,47.7847458940,12.5948387390,48.2847458940,237,12.0948387390,47.7847458940,Germany,276.00,Bayern,27600902.00
12.5948387390,54.2847458940,13.0948387390,54.7847458940,241,12.5948387390,54.2847458940,Germany,276.00,Mecklenburg-Vorpommern,27600908.00
12.5948387390,53.7847458940,13.0948387390,54.2847458940,242,12.5948387390,53.7847458940,Germany,276.00,Mecklenburg-Vorpommern,27600908.00
12.5948387390,53.2847458940,13.0948387390,53.7847458940,243,12.5948387390,53.2847458940,Germany,276.00,Mecklenburg-Vorpommern,27600908.00
12.5948387390,52.7847458940,13.0948387390,53.2847458940,244,12.5948387390,52.7847458940,Germany,276.00,Brandenburg,27600904.00
12.5948387390,52.2847458940,13.0948387390,52.7847458940,245,12.5948387390,52.2847458940,Germany,276.00,Brandenburg,27600904.00
12.5948387390,51.7847458940,13.0948387390,52.2847458940,246,12.5948387390,51.7847458940,Germany,276.00,Sachsen-Anhalt,27600914.00
12.5948387390,51.2847458940,13.0948387390,51.7847458940,247,12.5948387390,51.2847458940,Germany,276.00,Sachsen,27600913.00
12.5948387390,50.7847458940,13.0948387390,51.2847458940,248,12.5948387390,50.7847458940,Germany,276.00,Sachsen,27600913.00
12.5948387390,49.2847458940,13.0948387390,49.7847458940,251,12.5948387390,49.2847458940,Germany,276.00,Bayern,27600902.00
12.5948387390,48.7847458940,13.0948387390,49.2847458940,252,12.5948387390,48.7847458940,Germany,276.00,Bayern,27600902.00
12.5948387390,48.2847458940,13.0948387390,48.7847458940,253,12.5948387390,48.2847458940,Germany,276.00,Bayern,27600902.00
12.5948387390,47.7847458940,13.0948387390,48.2847458940,254,12.5948387390,47.7847458940,Germany,276.00,Bayern,27600902.00
13.0948387390,54.2847458940,13.5948387390,54.7847458940,258,13.0948387390,54.2847458940,Germany,276.00,Mecklenburg-Vorpommern,27600908.00
13.0948387390,53.7847458940,13.5948387390,54.2847458940,259,13.0948387390,53.7847458940,Germany,276.00,Mecklenburg-Vorpommern,27600908.00
13.0948387390,53.2847458940,13.5948387390,53.7847458940,260,13.0948387390,53.2847458940,Germany,276.00,Mecklenburg-Vorpommern,27600908.00
13.0948387390,52.7847458940,13.5948387390,53.2847458940,261,13.0948387390,52.7847458940,Germany,276.00,Brandenburg,27600904.00
13.0948387390,52.2847458940,13.5948387390,52.7847458940,262,13.0948387390,52.2847458940,Germany,276.00,Brandenburg,27600904.00
13.0948387390,51.7847458940,13.5948387390,52.2847458940,263,13.0948387390,51.7847458940,Germany,276.00,Sachsen-Anhalt,27600914.00
13.0948387390,51.2847458940,13.5948387390,51.7847458940,264,13.0948387390,51.2847458940,Germany,276.00,Sachsen,27600913.00
13.0948387390,50.7847458940,13.5948387390,51.2847458940,265,13.0948387390,50.7847458940,Germany,276.00,Sachsen,27600913.00
13.0948387390,48.7847458940,13.5948387390,49.2847458940,269,13.0948387390,48.7847458940,Germany,276.00,Bayern,27600902.00
13.0948387390,48.2847458940,13.5948387390,48.7847458940,270,13.0948387390,48.2847458940,Germany,276.00,Bayern,27600902.00
13.5948387390,53.7847458940,14.0948387390,54.2847458940,276,13.5948387390,53.7847458940,Germany,276.00,Mecklenburg-Vorpommern,27600908.00
13.5948387390,53.2847458940,14.0948387390,53.7847458940,277,13.5948387390,53.2847458940,Germany,276.00,Brandenburg,27600904.00
13.5948387390,52.7847458940,14.0948387390,53.2847458940,278,13.5948387390,52.7847458940,Germany,276.00,Brandenburg,27600904.00
13.5948387390,52.2847458940,14.0948387390,52.7847458940,279,13.5948387390,52.2847458940,Germany,276.00,Brandenburg,27600904.00
